  0.000000 -8.950100 -8.822100 -8.928890 -8.929890  0.009749 -0.134640 -0.029832 -0.251360
  2.000000 -9.457240 -9.038690 -8.502170 -8.685940  0.381346  0.097097 -0.291174 -0.579190
  4.000000 -9.826380 -9.256960 -8.198710 -8.399350  0.779740  0.298415 -0.460379 -0.871390
  6.000000-10.212900 -9.503230 -8.024050 -7.873930  1.127006  0.518730 -0.557841 -1.095660
  8.000000-10.730700 -9.739290 -7.887520 -7.202060  1.392200  0.803665 -0.663283 -1.294250
 10.000000-11.150100 -9.903180 -7.698790 -6.534770  1.564235  1.124541 -0.774132 -1.436240
 12.000000-11.351900-10.126500 -7.439200 -5.900480  1.668092  1.343498 -0.909318 -1.491360
 16.000000-11.472100-10.757900 -6.925030 -4.647110  1.801893  1.457207 -1.068473 -1.407590
 18.000000-11.417800-11.027600 -6.813660 -3.979110  1.822134  1.344720 -1.063124 -1.294900
 20.000000-11.616000-11.163200 -6.802120 -3.269210  1.887955  1.082312 -1.065297 -1.140340
 23.000000-12.118700-10.989600 -6.894400 -2.117350  2.035838  0.458036 -1.047584 -0.897210
 25.000000-12.501900-10.608500 -6.979190 -1.274530  2.157944 -0.074950 -1.002907 -0.732310
 -4.000000-16.665800-16.888900-19.035200-17.866600 -0.109300 -0.479050  2.155453  1.714173
 -2.000000-17.167200-17.389600-18.432300-17.725100  0.543605  0.215294  1.694336  1.223202
  0.000000-17.756300-17.437800-17.684100-17.638900  1.102392  0.848042  1.021462  0.663108
  2.000000-18.557700-17.542000-17.006700-17.436500  1.822073  1.348604  0.558969  0.095278
  4.000000-19.183600-17.689500-16.408700-17.123600  2.538242  1.781127  0.124272 -0.478530
  6.000000-19.984300-17.853700-16.270600-16.347500  3.064276  2.241853 -0.245269 -1.149040
  8.000000-20.969800-18.250900-16.083900-15.157400  3.529507  2.668092 -0.589019 -1.870690
 10.000000-21.631900-18.722400-15.892600-13.820700  3.858755  3.065628 -1.032601 -2.439420
 12.000000-21.908700-19.269900-15.449300-12.486500  4.035680  3.391351 -1.531569 -2.824090
 16.000000-22.380000-20.375000-14.376600 -9.873500  4.167588  3.575225 -1.850611 -2.820110
 18.000000-22.847300-20.700900-14.117900 -8.448410  4.229519  3.367587 -1.867863 -2.631850
 20.000000-23.243700-20.624600-14.015000 -6.931010  4.224980  2.906902 -1.860123 -2.363100
 23.000000-24.121500-19.804500-13.995300 -4.504150  4.477014  1.975356 -1.724458 -1.893080
 25.000000-24.814100-18.903500-13.959200 -2.735910  4.709325  1.180111 -1.550801 -1.577510
 -4.000000-22.627700-23.365900-25.642900-23.583000  1.175035  0.244285  4.012587  3.009818
 -2.000000-22.888400-23.506100-24.686700-23.781600  1.540689  1.055483  3.098041  2.380962
  0.000000-23.885200-23.390600-23.731000-23.677000  2.240492  1.835155  2.145161  1.826561
  2.000000-24.884800-23.151400-22.806300-23.665700  3.099185  2.461668  1.576411  1.209699
  4.000000-25.728400-23.122700-22.087100-23.293200  4.048131  2.996969  1.122776  0.442607
  6.000000-26.916800-23.203200-21.899100-22.562800  4.891782  3.467082  0.387243 -0.647340
  8.000000-27.425200-23.711200-22.336400-21.208000  5.314148  3.967190 -0.623133 -2.095350
 10.000000-28.145100-24.422600-22.515200-19.856200  5.680437  4.472560 -2.377938 -4.192500
