0.0000   625.8129883     0.3481940 -0.1715766 0.0000000     -0.0057891 2.0712305  -40.7690933  0.0000000 -0.2232630 -0.3568304  -0.9997646   0.1096875   0.0450072 -0.2880271  0.1047356  0.0000000 31.9827768 -4.2153546 0.0000028 -0.0026200 -0.0309514 -0.2221215 -0.0911413 -0.0000007 0.0002476 -0.0008793 -0.0048731
 0.0500   619.2081909     0.3395523 -0.1801626 0.0000000     0.3248984 2.4685839  -40.5487143  0.0000000 -0.2242319 -0.3870479  -1.0018440   0.1093253   0.0457198 -0.2904545  0.1010691  0.0000000 31.8137887 -4.2447232 0.0000558 -0.0028722 -0.0314995 -0.2225671 -0.0930774 0.0000392 0.0002982 -0.0008271 -0.0048985
 0.1000   612.8999023     0.3310257 -0.1902995 0.0000000     0.6425799 2.9029355  -40.4125826  0.0000000 -0.2255917 -0.4230686  -1.0038581   0.1089564   0.0465956 -0.2928125  0.0972820  0.0000000 31.6514918 -4.2867761 0.0002544 -0.0031718 -0.0321389 -0.2229560 -0.0953479 0.0000784 0.0003543 -0.0007688 -0.0049323
 0.1500   606.8865356     0.3225792 -0.2007293 0.0000000     0.9562942 3.3444426  -40.2996183  0.0000000 -0.2270574 -0.4580392  -1.0057833   0.1085723   0.0475097 -0.2951022  0.0933783  0.0000000 31.4959522 -4.3321472 0.0006121 -0.0034681 -0.0328009 -0.2232687 -0.0976993 0.0001179 0.0004122 -0.0007085 -0.0049672
 0.2000   601.1663818     0.3141777 -0.2113725 0.0000000     1.2614691 3.7899749  -40.2077930  0.0000000 -0.2286115 -0.4913088  -1.0075976   0.1081610   0.0484541 -0.2973244  0.0893622  0.0000000 31.3472340 -4.3802298 0.0011371 -0.0037553 -0.0334806 -0.2234791 -0.1001144 0.0001570 0.0004716 -0.0006467 -0.0050031
 0.2500   595.7383423     0.3057866 -0.2221528 0.0000000     1.5541579 4.2365959  -40.1352364  0.0000000 -0.2302369 -0.5223875  -1.0092815   0.1077125   0.0494208 -0.2994797  0.0852385  0.0000000 31.2053988 -4.4304560 0.0018345 -0.0040293 -0.0341730 -0.2235640 -0.1025760 0.0001951 0.0005320 -0.0005838 -0.0050395
 0.3000   590.6010132     0.2973721 -0.2329965 0.0000000     1.8448677 4.6546133  -39.8780768  0.0000000 -0.2319174 -0.5826193  -1.0108172   0.1082472   0.0497174 -0.3015681  0.0810123  0.0000000 31.0705106 -4.4373490 0.0027411 -0.0045330 -0.0345239 -0.2256486 -0.1036393 0.0002337 0.0005895 -0.0005270 -0.0050508
 0.3500   585.7330933     0.2889969 -0.2440874 0.0000000     2.9438441 5.0379311  -39.3370891  0.0000000 -0.2336918 -0.7135047  -1.0122310   0.1100953   0.0480018 -0.3035863  0.0766746  0.0000000 30.9420981 -4.3793467 0.0073898 -0.0055974 -0.0343558 -0.2304519 -0.1004775 0.0003760 0.0006434 -0.0004791 -0.0050237
 0.4000   581.1116333     0.2812070 -0.2564463 0.0000000     4.2507519 5.4620534  -38.7928142  0.0000000 -0.2357886 -0.8179909  -1.0136850   0.1114596   0.0476034 -0.3054893  0.0722169  0.0000000 30.8196318 -4.3211532 0.0208492 -0.0064681 -0.0341689 -0.2342325 -0.1000386 0.0005472 0.0007031 -0.0004259 -0.0049936
 0.4500   576.7191772     0.2748061 -0.2714347 0.0000000     6.1399415 5.9737558  -38.2205069  0.0000000 -0.2385139 -0.9715780  -1.0153838   0.1117817   0.0471819 -0.3072133  0.0676466  0.0000000 30.7027185 -4.2602562 0.0421841 -0.0077411 -0.0339439 -0.2358005 -0.0995290 0.0007964 0.0007748 -0.0003618 -0.0049574
