 1.1000    -0.3235923 1.0503842 0.0836568  0.0002015 0.0062608 -0.0123033  3.0614178 2552.8769531   0.6021006 1.8432815 0.0925037  -1.5025957 -0.6406657 0.6146220  1.4764266 0.7430229   0.5557631 -0.2995859 -0.8490119
 1.1500    -0.3113869 0.9896239 0.0207905  0.0001373 0.0055112 -0.0216553  3.1252147 2782.7568359   0.5716412 1.7865015 0.0217255  -1.4339238 -0.5944703 0.5708968  1.4179376 0.7147367   0.6550485 -0.3961304 -0.8773011
 1.2000    -0.3100671 0.9070723 -0.0400459  0.0000657 0.0048159 -0.0234943  3.1242088 3023.0305176   0.5457847 1.7051453 -0.0477341  -1.3140586 -0.5433477 0.5249360  1.3079143 0.6203142   0.6300464 -0.3872572 -0.8119066
 1.2500    -0.3150741 0.8028077 -0.0977206  -0.0000064 0.0044342 -0.0197560  3.0537360 3273.7084961   0.5242745 1.6009958 -0.1142378  -1.1897696 -0.4894262 0.4765260  1.1913999 0.4960631   0.5577999 -0.3361282 -0.6989241
 1.3000    -0.3250205 0.7172147 -0.1494620  -0.0000316 0.0045073 -0.0194789  2.9601946 3534.8100586   0.5032567 1.4897377 -0.1775268  -1.0686940 -0.4358650 0.4286520  1.0759993 0.3791722   0.4791617 -0.2818428 -0.5787155
 1.3500    -0.3282678 0.5694807 -0.1945273  -0.0000451 0.0055066 0.0000270  2.7970990 3806.3713379   0.4700709 1.3148348 -0.2359188  -0.9284009 -0.3732841 0.3716630  0.9416342 0.1567646   0.2893315 -0.1130054 -0.3469310
 1.4000    -0.3437134 0.4100444 -0.2371042  -0.0000160 0.0064447 0.0232926  2.4950185 4088.3999023   0.4535000 1.1314909 -0.2917205  -0.7843472 -0.3029658 0.3087664  0.7981974 -0.0407769   0.1159116 0.0355503 -0.1354941
 1.4500    -0.3516500 0.2977803 -0.2813334  0.0000036 0.0066361 0.0341358  2.2729615 4380.8540039   0.4409991 1.0023739 -0.3500796  -0.6713360 -0.2451632 0.2580637  0.6824944 -0.1393053   0.0249677 0.0941065 -0.0140858
 1.5000    -0.3518528 0.2350349 -0.3322715  0.0000144 0.0055000 0.0343696  2.1392770 4683.7529297   0.4326221 0.9254986 -0.4120136  -0.5884487 -0.2022359 0.2210218  0.5955949 -0.1749387   -0.0163956 0.1006806 0.0502861
 1.5500    -0.3479266 0.2043476 -0.3899343  0.0000270 0.0032773 0.0301069  2.0613866 4997.1401367   0.4285000 0.8833042 -0.4760596  -0.5266260 -0.1705924 0.1939634  0.5295508 -0.1897456   -0.0418669 0.0951966 0.0935580
