0.0000     0.0000000 0.0000000 0.0006437     64.1645432 0.1018909 11.5172997     0.0000000 -40.7690933 -0.1715766   625.8129883
 0.0500     0.0000000 0.0000000 0.0062132     64.1645432 0.1018909 11.5172997     0.0000000 -40.5487143 -0.1801626   619.2081909
 0.1000     0.0000000 0.0000000 0.0103666     64.1645432 0.1018909 11.5172997     0.0000000 -40.4125826 -0.1902995   612.8999023
 0.1500     0.0000000 0.0000000 0.0131063     64.1645432 0.1018909 11.5172997     0.0000000 -40.2996183 -0.2007293   606.8865356
 0.2000     0.0000000 0.0000000 0.0144476     64.1645432 0.1018909 11.5172997     0.0000000 -40.2077930 -0.2113725   601.1663818
 0.2500     0.0000000 0.0000000 0.0144220     64.1645432 0.1018909 11.5172997     0.0000000 -40.1352364 -0.2221528   595.7383423
 0.3000     0.0000000 0.0000000 0.0130663     64.1645432 0.1018909 11.5172997     0.0000000 -39.8780768 -0.2329965   590.6010132
 0.3500     0.0000000 0.0000000 -0.0027275     64.1645432 0.1018909 11.5172997     0.0000000 -39.3370891 -0.2440874   585.7330933
 0.4000     0.0000000 0.0000000 -0.0338793     64.1645432 0.1018909 11.5172997     0.0000000 -38.7928142 -0.2564463   581.1116333
 0.4500     0.0000000 0.0000000 -0.0700914     64.1645432 0.1018909 11.5172997     0.0000000 -38.2205069 -0.2714347   576.7191772
 0.5000     0.0000000 0.0000000 -0.0927628     64.1645432 0.1018909 11.5172997     0.0000000 -38.3676194 -0.2913756   581.6118164
 0.5500     0.0000000 0.0000000 -0.0924205     55.8048058 0.1564274 9.9875708     0.0000000 -46.0609399 -0.3332087   691.8278809
 0.6000     0.0000000 0.0000000 -0.0606600     47.9975052 0.1596583 8.5617151     0.0000000 -54.6433067 -0.3813445   811.9425659
 0.6500     0.0000000 0.0000000 -0.0028139     41.7342262 0.1627155 7.4215178     0.0000000 -64.1326010 -0.4354997   941.9583130
 0.7000     0.0000000 0.0000000 0.0410808     36.6370163 0.1656162 6.4963665     0.0000000 -74.4924535 -0.4888283   1081.7463379
 0.7500     0.0000000 0.0000000 0.0501763     32.4343529 0.1683762 5.7357016     0.0000000 -85.6362841 -0.5392749   1231.2155762
 0.8000     0.0000000 0.0000000 0.0377315     28.9324799 0.1710061 5.1035290     0.0000000 -97.3921700 -0.5854400   1390.0883789
 0.8500     0.0000000 0.0000000 0.0236293     25.9822483 0.1735192 4.5722470     0.0000000 -109.5266164 -0.6221573   1558.3278809
 0.9000     0.0000000 0.0000000 0.0177899     23.4645443 0.1759349 4.1199031     0.0000000 -121.9480027 -0.6476376   1736.5162354
 0.9500     0.0000000 0.0000000 0.0204152     21.2937717 0.1782670 3.7307487     0.0000000 -134.7681308 -0.6650888   1925.1417236
 1.0000     0.0000000 0.0000000 0.0266071     19.4105453 0.1805203 3.3938498     0.0000000 -148.1850683 -0.6797764   2124.1286621
 1.0500     0.0000000 0.0000000 0.0338297     17.7675953 0.1826990 3.1005223     0.0000000 -162.3136245 -0.6898114   2333.3549805
 1.1000     0.0000000 0.0000000 0.0408323     16.3255501 0.1848089 2.8435564     0.0000000 -177.1390655 -0.6965103   2552.8769531
 1.1500     0.0000000 0.0000000 0.0466340     15.0527821 0.1868549 2.6171699     0.0000000 -192.6027840 -0.7006407   2782.7568359
 1.2000     0.0000000 0.0000000 0.0505145     13.9237804 0.1888416 2.4167082     0.0000000 -208.6578981 -0.7010125   3023.0305176
 1.2500     0.0000000 0.0000000 0.0519396     12.9177570 0.1907725 2.2383835     0.0000000 -225.2760243 -0.6970870   3273.7084961
 1.3000     0.0000000 0.0000000 0.0512739     12.0174952 0.1926511 2.0790656     0.0000000 -244.5547376 -0.6888065   3534.8100586
 1.3500     0.0000000 0.0000000 0.0496593     11.2086315 0.1944806 1.9361464     0.0000000 -265.0302872 -0.6762367   3806.3713379
 1.4000     0.0000000 0.0000000 0.0482701     10.4792318 0.1962639 1.8074628     0.0000000 -286.3513219 -0.6621622   4088.3999023
 1.4500     0.0000000 0.0000000 0.0481199     9.8193407 0.1980032 1.6912124     0.0000000 -308.4100455 -0.6507470   4380.8540039
 1.5000     0.0000000 0.0000000 0.0486327     9.2203751 0.1997008 1.5858440     0.0000000 -330.1211796 -0.6447941   4683.7529297
 1.5500     0.0000000 0.0000000 0.0500193     8.6749973 0.2013593 1.4900340     0.0000000 -351.4677850 -0.6452739   4997.1401367
