 1.8500    3893.27832  107.72887  0.10875  -0.01743 -0.00468  0.09038 2.46667  2.96667 107.64929 0.00000 0.00000 0 0 0 7095.96045
 1.9000    3887.88232  110.62097  0.10592  -0.01483 -0.00483  0.09053 2.46667  2.96667 110.53828 0.00000 0.00000 0 0 0 7481.66016
 1.9500    3882.33984  113.51218  0.10344  -0.01213 -0.00498  0.09067 2.46667  2.96667 113.42643 0.00000 0.00000 0 0 0 7877.42188
 2.0000    3876.65137  116.40222  0.10134  -0.00933 -0.00514  0.09082 2.46667  2.96667 116.31344 0.00000 0.00000 0 0 0 8283.19336
 2.0500    3870.81714  119.29069  0.09962  -0.00648 -0.00529  0.09097 2.46667  2.96667 119.19890 0.00000 0.00000 0 0 0 8698.90234
 2.1000    3864.83643  122.17734  0.09825  -0.00362 -0.00545  0.09112 2.46667  2.96667 122.08257 0.00000 0.00000 0 0 0 9124.49316
 2.1500    3858.71021  125.06211  0.09717  -0.00079 -0.00561  0.09127 2.46667  2.96667 124.96438 0.00000 0.00000 0 0 0 9559.93359
 2.2000    3852.43896  127.94508  0.09632  0.00196 -0.00577  0.09142 2.46667  2.96667 127.84440 0.00000 0.00000 0 0 0 10005.21094
 2.2500    3846.02222  130.82639  0.09562  0.00459 -0.00593  0.09157 2.46667  2.96667 130.72276 0.00000 0.00000 0 0 0 10460.32813
 2.3000    3839.46045  133.70615  0.09503  0.00707 -0.00610  0.09171 2.46667  2.96667 133.59960 0.00000 0.00000 0 0 0 10925.28027
 2.3500    3832.75439  136.58296  0.09444  0.00936 -0.00626  0.09186 2.46667  2.96667 136.47356 0.00000 0.00000 0 0 0 11399.81445
 2.4000    3825.90381  139.45584  0.09402  0.01147 -0.00644  0.09201 2.46667  2.96667 139.34371 0.00000 0.00000 0 0 0 11883.72559
 2.4500    3818.90991  142.32384  0.09406  0.01346 -0.00661  0.09215 2.46667  2.96667 142.20910 0.00000 0.00000 0 0 0 12376.80469
 2.5000    3811.77271  145.18571  0.09454  0.01530 -0.00679  0.09230 2.46667  2.96667 145.06845 0.00000 0.00000 0 0 0 12878.77051
 2.5500    3804.49292  148.04205  0.09528  0.01697 -0.00698  0.09245 2.46667  2.96667 147.92217 0.00000 0.00000 0 0 0 13389.65918
 2.6000    3797.07153  150.89461  0.09610  0.01845 -0.00717  0.09259 2.46667  2.96667 150.77199 0.00000 0.00000 0 0 0 13909.72754
 2.6500    3789.50854  153.74506  0.09692  0.01978 -0.00736  0.09274 2.46667  2.96667 153.61965 0.00000 0.00000 0 0 0 14439.24414
 2.7000    3781.80444  156.59441  0.09771  0.02097 -0.00757  0.09289 2.46667  2.96667 156.46621 0.00000 0.00000 0 0 0 14978.37695
 2.7500    3773.95898  159.44289  0.09853  0.02208 -0.00778  0.09304 2.46667  2.96667 159.31192 0.00000 0.00000 0 0 0 15527.15137
