0.0000   -0.1742286 0.0000000     198.8309937 134.6549988 160.03889    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
0.0500   -0.1715753 0.0000000     198.8309937 134.6549988 160.03889    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
0.1000   -0.1696238 0.0000000     198.8309937 134.6549988 160.03889    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
0.1500   -0.1683751 0.0000000     198.8309937 134.6549988 160.03889    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
0.2000   -0.1678242 0.0000000     198.8309937 134.6549988 160.03889    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
0.2500   -0.1679596 0.0000000     198.8309937 134.6549988 160.03889    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
0.3000   -0.1687622 0.0000000     198.8309937 134.6549988 160.03889    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
0.3500   -0.1642231 0.0000000     198.8309937 134.6549988 160.03889    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
0.4000   -0.1448018 0.0000000     198.8309937 134.6549988 160.03889    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
0.4500   -0.1080913 0.0000000     198.8309937 134.6549988 160.03889    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
0.5000   -0.0511905 0.0000000     198.8309937 134.6549988 160.03889    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
0.5500   0.0230061 0.0000000     11.5619612 22.8724937 137.37059    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
0.6000   0.0891013 0.0000000     9.5563946 19.3644505 116.37602    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
0.6500   0.1309353 0.0000000     8.0081367 16.5927563 99.77803    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
0.7000   0.1442761 0.0000000     6.7923479 14.3688183 86.45255    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
0.7500   0.1226414 0.0000000     5.8227968 12.5592594 75.60415    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
0.8000   0.0570194 0.0000000     5.0397468 11.0699940 66.67143    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
0.8500   -0.0511148 0.0000000     4.3991137 9.8298368 59.22938    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
0.9000   -0.1459700 0.0000000     3.8673313 8.7830524 52.94494    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
0.9500   -0.1936876 0.0000000     3.4207282 7.8898778 47.58043    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
1.0000   -0.1940393 0.0000000     3.0428743 7.1226802 42.97070    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
1.0500   -0.1849795 0.0000000     2.7210219 6.4596868 38.98555    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
1.1000   -0.1852673 0.0000000     2.4449143 5.8830214 35.51802    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
1.1500   -0.1941841 0.0000000     2.2064986 5.3784513 32.48294    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
1.2000   -0.2070927 0.0000000     1.9994134 4.9345922 29.81215    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
1.2500   -0.2204368 0.0000000     1.8185766 4.5422382 27.45050    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
1.3000   -0.2331945 0.0000000     1.6598680 4.1938295 25.35271    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
1.3500   -0.2421258 0.0000000     1.5199207 3.8831117 23.48130    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
1.4000   -0.2334965 0.0000000     1.3959848 3.6049230 21.80532    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
1.4500   -0.2096808 0.0000000     1.2858025 3.3549833 20.29910    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
1.5000   -0.1792023 0.0000000     1.1874692 3.1296356 18.94072    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
1.5500   -0.1490898 0.0000000     1.0993869 2.9257762 17.71154    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
1.6000   -0.1210696 0.0000000     1.0202272 2.7408056 16.59596    0.00000  0.00000   0.00000        0.00000   0.0000000 0.0000000
