0.0000    0.09175  0.23851
 0.0500    0.09583  0.23702
 0.1000    0.10047  0.23578
 0.1500    0.10478  0.23445
 0.2000    0.10871  0.23162
 0.2500    0.11227  0.22876
 0.3000    0.11884  0.22662
 0.3500    0.13199  0.22531
 0.4000    0.14161  0.22291
 0.4500    0.15471  0.25329
 0.5000    0.16914  0.22351
 0.5500    0.15566  0.27426
 0.6000    0.17882  0.33178
 0.6500    0.21938  0.37303
 0.7000    0.28314  0.38356
 0.7500    0.33811  0.40324
 0.8000    0.37617  0.45732
 0.8500    0.40323  0.48868
 0.9000    0.41757  0.48379
 0.9500    0.41774  0.49985
 1.0000    0.40932  0.52630
 1.0500    0.41268  0.55507
 1.1000    0.41479  0.58499
 1.1500    0.41050  0.61442
 1.2000    0.39841  0.63845
 1.2500    0.37740  0.66217
 1.3000    0.34837  0.61809
 1.3500    0.30722  0.55109
 1.4000    0.25665  0.55873
 1.4500    0.19517  0.58497
 1.5000    0.14566  0.59564
 1.5500    0.13272  0.59527
 1.6000    0.21172  0.60903
 1.6500    0.30502  0.63463
 1.7000    0.38433  0.66889
 1.7500    0.45581  0.70857
 1.8000    0.52147  0.75078
 1.8500    0.58204  0.79316
 1.9000    0.63769  0.83406
 1.9500    0.68907  0.86749
 2.0000    0.73289  0.89608
 2.0500    0.76765  0.92422
 2.1000    0.79427  0.95151
 2.1500    0.81436  0.98663
 2.2000    0.82986  1.04416
 2.2500    0.84280  1.10268
 2.3000    0.85520  1.16355
 2.3500    0.87242  1.24076
 2.4000    0.91998  1.27875
 2.4500    0.98039  1.30904
 2.5000    1.03581  1.34094
 2.5500    1.07785  1.37422
 2.6000    1.10645  1.40768
 2.6500    1.12637  1.44050
 2.7000    1.14312  1.47246
 2.7500    1.16155  1.50371
 2.8000    1.18229  1.53454
 2.8500    1.20204  1.56517
 2.9000    1.21934  1.59570
 2.9500    1.23343  1.62619
 3.0000    1.24436  1.65672
 3.0500    1.25292  1.68719
 3.1000    1.25977  1.71765
 3.1500    1.26533  1.74812
 3.2000    1.26968  1.77866
 3.2500    1.27279  1.80930
 3.3000    1.27463  1.84006
 3.3500    1.27525  1.87095
 3.4000    1.27477  1.90197
 3.4500    1.27329  1.93312
 3.5000    1.27079  1.96264
 3.5500    1.26489  1.96775
 3.6000    1.25488  1.94943
 3.6500    1.24181  1.92632
 3.7000    1.22722  1.90015
 3.7500    1.21299  1.87407
 3.8000    1.20040  1.85027
 3.8500    1.18956  1.82900
 3.9000    1.17980  1.80915
 3.9500    1.17038  1.78943
 4.0000    1.16033  1.76823
 4.0500    1.15075  1.74733
 4.1000    1.14120  1.72597
 4.1500    1.13189  1.70462
 4.2000    1.12296  1.68349
 4.2500    1.11438  1.66254
 4.3000    1.10605  1.64156
 4.3500    1.09790  1.64507
 4.4000    1.08992  1.64905
 4.4500    1.08213  1.65305
 4.5000    1.07453  1.65706
 4.5500    1.07138  1.66391
 4.6000    1.07571  1.66876
 4.6500    1.08252  1.67400
 4.7000    1.08502  1.67948
 4.7500    1.08145  1.68480
 4.8000    1.07398  1.68978
 4.8500    1.06555  1.69438
 4.9000    1.05806  1.69868
 4.9500    1.05203  1.70272
 5.0000    1.04714  1.70645
