 1.10000 2552.87695     -0.0150630 -0.0049267 0.0005501 -0.5344131     -9.6728533    0.02437  -23.48160  -12.87199  0.00000     1.1940782  -18.4740378    0.10374  0.00000   64.56050  -0.02292   -0.03289  0.27496   0.10244  5.33576
 1.15000 2782.75684     -0.0149122 -0.0081325 0.0005195 -0.5522954     -9.6767316    0.02299  -24.88474  -14.25660  0.00000     1.1716757  -20.1447624    0.10554  0.00000   67.40412  -0.02326   -0.03287  0.27734   0.09970  4.93278
 1.20000 3023.03052     -0.0150180 -0.0091638 0.0004777 -0.5693897     -9.6808264    0.02169  -26.12568  -15.43766  0.00000     1.1490158  -21.9128433    0.10892  0.00000   70.25356  -0.02317   -0.03288  0.27655   0.09860  4.50833
 1.25000 3273.70850     -0.0153088 -0.0083045 0.0004238 -0.5855712     -9.6851701    0.02046  -27.38620  -16.64922  0.00000     1.1286933  -23.7616518    0.11322  0.00000   73.10829  -0.02305   -0.03290  0.27551   0.09836  4.05793
 1.30000 3534.81006     -0.0158012 -0.0085979 0.0003793 -0.6008251     -9.6897670    0.01929  -26.36723  -14.43313  0.00000     1.0801587  -25.7513345    0.11825  0.00000   75.96793  -0.01849   -0.03299  0.24899   0.09874  3.58403
 1.35000 3806.37134     -0.0159201 -0.0015603 0.0003005 -0.6151658     -9.6946261    0.01818  -24.89462  -11.35613  0.00000     1.0296072  -27.8849027    0.12408  0.00000   78.83234  -0.01350   -0.03314  0.22110   0.09973  3.09028
 1.40000 4088.39990     -0.0166333 0.0076684 0.0002145 -0.6292214     -9.6998099    0.01711  -25.73360  -11.68832  0.00000     1.0106512  -30.3078109    0.13179  0.00000   81.70116  -0.01292   -0.03351  0.21821   0.10207  2.61282
 1.45000 4380.85400     -0.0172746 0.0126296 0.0001544 -0.6439296     -9.7052165    0.01608  -27.23225  -12.86522  0.00000     0.9999743  -32.7784848    0.13806  0.00000   84.57353  -0.01326   -0.03379  0.22041   0.10317  2.19892
 1.50000 4683.75293     -0.0178136 0.0134765 0.0001215 -0.6599237     -9.7106766    0.01510  -28.42524  -13.35622  0.00000     0.9854189  -35.2736324    0.14339  0.00000   87.44934  -0.01287   -0.03398  0.21852   0.10351  1.87396
 1.55000 4997.14014     -0.0183331 0.0123581 0.0001061 -0.6774238     -9.7160337    0.01417  -29.36564  -13.33312  0.00000     0.9679179  -37.8264117    0.14847  0.00000   90.32864  -0.01203   -0.03412  0.21370   0.10363  1.63992
 1.60000 5321.00342     -0.0189644 0.0114042 0.0000971 -0.6964205     -9.7211889    0.01331  -30.80731  -13.97769  0.00000     0.9559337  -40.4634869    0.15358  0.00000   93.21101  -0.01183   -0.03425  0.21203   0.10376  1.48791
 1.65000 5655.30859     -0.0197101 0.0108557 0.0000934 -0.7168930     -9.7260789    0.01250  -32.72301  -15.21989  0.00000     0.9487807  -43.2033035    0.15883  0.00000   96.09589  -0.01211   -0.03437  0.21284   0.10396  1.40960
 1.70000 6000.01221     -0.0205509 0.0104233 0.0000954 -0.7388509     -9.7306542    0.01176  -35.08440  -16.96421  0.00000     0.9458166  -46.0434855    0.16416  0.00000   98.98271  -0.01271   -0.03449  0.21556   0.10419  1.39900
 1.75000 6355.06152     -0.0214714 0.0098417 0.0001040 -0.7623021     -9.7348726    0.01107  -37.85872  -19.09973  0.00000     0.9464217  -48.9816929    0.16955  0.00000   101.87092  -0.01350   -0.03461  0.21969   0.10442  1.45071
 1.80000 6720.40039     -0.0224642 0.0090126 0.0001188 -0.7872141     -9.7386990    0.01045  -41.00327  -21.50508  0.00000     0.9499614  -52.0233743    0.17500  0.00000   104.75997  -0.01436   -0.03473  0.22479   0.10468  1.55820
 1.85000 7095.96045     -0.0235249 0.0079674 0.0001389 -0.8134921     -9.7421074    0.00988  -44.46467  -24.05839  0.00000     0.9557875  -55.1832069    0.18057  0.00000   107.64929  -0.01520   -0.03486  0.23043   0.10499  1.71320
 1.90000 7481.66016     -0.0246468 0.0067972 0.0001630 -0.8409799     -9.7450827    0.00937  -48.18341  -26.65308  0.00000     0.9632790  -58.4831503    0.18635  0.00000   110.53828  -0.01595   -0.03501  0.23626   0.10539  1.90587
 1.95000 7877.42188     -0.0258302 0.0054648 0.0001914 -0.8694729     -9.7476201    0.00892  -51.57770  -28.86778  0.00000     0.9672819  -61.9379621    0.19251  0.00000   113.42643  -0.01640   -0.03518  0.23944   0.10597  2.12556
 2.00000 8283.19336     -0.0270750 0.0041246 0.0002220 -0.8987028     -9.7497209    0.00852  -54.63025  -30.82985  0.00000     0.9680181  -65.5211109    0.19899  0.00000   116.31344  -0.01664   -0.03536  0.24034   0.10669  2.36025
 2.05000 8698.90234     -0.0283521 0.0031149 0.0002518 -0.9283951     -9.7514097    0.00818  -57.69357  -32.82214  0.00000     0.9687824  -69.1899875    0.20556  0.00000   119.19890  -0.01685   -0.03552  0.24088   0.10741  2.59893
 2.10000 9124.49316     -0.0296135 0.0024458 0.0002798 -0.9583564     -9.7527363    0.00787  -60.73658  -34.81351  0.00000     0.9693815  -72.7207656    0.21113  0.00000   122.08257  -0.01702   -0.03556  0.24100   0.10759  2.83450
 2.15000 9559.93359     -0.0308196 0.0020126 0.0003059 -0.9884908     -9.7537676    0.00761  -63.98801  -37.46901  0.00000     0.9716843  -76.2948276    0.21653  0.00000   124.96438  -0.01747   -0.03557  0.24169   0.10766  3.06389
 2.20000 10005.21094     -0.0319502 0.0017017 0.0003303 -1.0187747     -9.7545762    0.00737  -67.94634  -42.04405  0.00000     0.9794776  -79.9115486    0.22177  0.00000   127.84440  -0.01871   -0.03557  0.24476   0.10765  3.28668
 2.25000 10460.32813     -0.0330036 0.0014397 0.0003533 -1.0492167     -9.7552293    0.00716  -72.12920  -46.96414  0.00000     0.9887024  -83.5732121    0.22683  0.00000   130.72276  -0.01998   -0.03555  0.24813   0.10755  3.50355
 2.30000 10925.28027     -0.0339906 0.0012003 0.0003750 -1.0798224     -9.7557807    0.00696  -76.65147  -52.36778  0.00000     1.0001215  -87.2848850    0.23173  0.00000   133.59960  -0.02131   -0.03551  0.25216   0.10738  3.71505
 2.35000 11399.81445     -0.0356352 0.0186695 0.0003535 -1.1118088     -9.7563309    0.00677  -82.03463  -59.64609  0.00000     1.0171227  -91.0437944    0.23654  0.00000   136.47356  -0.02323   -0.03547  0.25834   0.10717  3.96027
 2.40000 11883.72559     -0.0369295 0.0092710 0.0004163 -1.1483680     -9.7567140    0.00660  -86.24467  -63.37918  0.00000     1.0240321  -94.8937514    0.24118  0.00000   139.34371  -0.02366   -0.03543  0.25961   0.10689  4.33578
 2.45000 12376.80469     -0.0384810 -0.0038420 0.0004932 -1.1869724     -9.7566778    0.00647  -90.23135  -66.42889  0.00000     1.0287755  -98.8483638    0.24577  0.00000   142.20910  -0.02379   -0.03540  0.25972   0.10660  4.75725
 2.50000 12878.77051     -0.0401112 -0.0101875 0.0005444 -1.2234385     -9.7562373    0.00638  -94.27914  -69.72133  0.00000     1.0343810  -102.9263630    0.25033  0.00000   145.06845  -0.02397   -0.03539  0.26004   0.10631  5.09839
 2.55000 13389.65918     -0.0414669 -0.0094550 0.0005636 -1.2556028     -9.7555496    0.00630  -98.36597  -73.24736  0.00000     1.0410690  -107.1379863    0.25493  0.00000   147.92217  -0.02420   -0.03540  0.26066   0.10604  5.30116
